Region,Habitat Type,Observation Month,Red Pandas Observed,Population Trend (%),Conservation Effort Score,Average Health Index,Temperature (°C),Rainfall (mm),Image URL,Stress Level (%),Activity Type
Nepal,Temperate Forest,Jan,19,2.5,5,7.4,17.7,268,https://redpandanetwork.org/get/files/image/galleries/Mathias_Appel_7.jpg,92.04635236,Grooming
India,Subtropical Forest,Feb,9,1.3,4,6.4,12.6,247,https://cms.whipsnadezoo.org/sites/default/files/styles/responsive/public/1440/729/1/2022-11/Ruby%20the%20red%20panda%20in%20a%20tree%20at%20Whipsnade%20Zoo.png.webp,90.27967542,Feeding
India,Bamboo Forest,Mar,7,3.7,9,8.5,24.6,120,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,95.23241242,Exploring
India,Bamboo Forest,Apr,3,0.9,9,8,5.6,228,https://images.squarespace-cdn.com/content/v1/54ef35d1e4b021bc7efe797f/efacdebe-3a42-4b16-bbac-822a7fcb18d1/red_panda.jpeg?format=1500w,92.60158312,Resting
Nepal,Bamboo Forest,May,3,-3.4,6,5.8,8.2,177,https://redpandanetwork.org/get/files/image/galleries/Mathias_Appel_7.jpg,99.01910743,Playing
China,Temperate Forest,Jun,13,-3.8,5,9.3,14.9,62,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,94.74081883,Playing
Bhutan,Temperate Forest,Jul,2,-2.5,7,9.1,19.4,98,https://cms.whipsnadezoo.org/sites/default/files/styles/responsive/public/1440/729/1/2022-11/Ruby%20the%20red%20panda%20in%20a%20tree%20at%20Whipsnade%20Zoo.png.webp,89.30898032,Feeding
Nepal,Temperate Forest,Aug,13,-0.6,8,8.4,15.8,191,https://images.squarespace-cdn.com/content/v1/54ef35d1e4b021bc7efe797f/efacdebe-3a42-4b16-bbac-822a7fcb18d1/red_panda.jpeg?format=1500w,86.77766485,Playing
India,Subtropical Forest,Sep,18,3.6,8,7.9,19.9,190,https://images.squarespace-cdn.com/content/v1/54ef35d1e4b021bc7efe797f/efacdebe-3a42-4b16-bbac-822a7fcb18d1/red_panda.jpeg?format=1500w,94.19542926,Exploring
Bhutan,Subtropical Forest,Oct,2,0.5,6,5.9,17.2,133,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,93.09051571,Grooming
China,Bamboo Forest,Nov,12,4.2,5,7,22.2,212,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,93.6491891,Feeding
India,Subtropical Forest,Dec,11,1.2,8,8.7,23.3,93,https://cms.whipsnadezoo.org/sites/default/files/styles/responsive/public/1440/729/1/2022-11/Ruby%20the%20red%20panda%20in%20a%20tree%20at%20Whipsnade%20Zoo.png.webp,92.70114172,Grooming
Eastern Himalayas,Subtropical Forest,Jan,12,-0.7,7,6.2,7.7,211,https://redpandanetwork.org/get/files/image/galleries/Mathias_Appel_7.jpg,93.08080283,Feeding
China,Temperate Forest,Feb,18,0.6,7,7.1,7.1,165,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,90.88106714,Exploring
Eastern Himalayas,Subtropical Forest,Mar,20,0.2,8,7.3,24,205,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,94.55115435,Resting
China,Subtropical Forest,Apr,16,6,7,5.1,6.7,114,https://cms.whipsnadezoo.org/sites/default/files/styles/responsive/public/1440/729/1/2022-11/Ruby%20the%20red%20panda%20in%20a%20tree%20at%20Whipsnade%20Zoo.png.webp,89.98087443,Resting
Bhutan,Subtropical Forest,May,16,-3.6,6,8.1,13,185,https://redpandanetwork.org/get/files/image/galleries/Mathias_Appel_7.jpg,92.7084746,Playing
Bhutan,Bamboo Forest,Jun,14,3,7,8.8,20.1,205,https://komonews.com/resources/media/07da0b6b-71b4-4d83-b14e-c5d4c053fc5c-1024x1024.jpg,86.54608536,Feeding
China,Subtropical Forest,Jul,10,-3.4,6,6.4,13.5,226,https://images.squarespace-cdn.com/content/v1/54ef35d1e4b021bc7efe797f/efacdebe-3a42-4b16-bbac-822a7fcb18d1/red_panda.jpeg?format=1500w,91.62934862,Playing
China,Subtropical Forest,Aug,8,1.7,7,7.3,6.6,170,https://images.squarespace-cdn.com/content/v1/54ef35d1e4b021bc7efe797f/efacdebe-3a42-4b16-bbac-822a7fcb18d1/red_panda.jpeg?format=1500w,90.46603488,Grooming
